imsi,aerialway:pylon,aeroway:aerodrome,aeroway:helipad,aeroway:parking_position,aeroway:terminal,amenity:animal_breeding,amenity:arts_centre,amenity:atm,amenity:baby_hatch,amenity:bank,amenity:bar,amenity:bicycle_parking,amenity:bicycle_rental,amenity:bureau_de_change,amenity:bus_station,amenity:cafe,amenity:car_wash,amenity:childcare,amenity:cinema,amenity:clinic,amenity:college,amenity:community_centre,amenity:conference_centre,amenity:courthouse,amenity:dentist,amenity:doctors,amenity:drinking_water,amenity:events_venue,amenity:fast_food,amenity:fire_station,amenity:food_court,amenity:fountain,amenity:fuel,amenity:grave_yard,amenity:gym,amenity:hospital,amenity:ice_cream,amenity:internet_cafe,amenity:kindergarten,amenity:language_school,amenity:library,amenity:marketplace,amenity:motorcycle_parking,amenity:nightclub,amenity:park,amenity:parking,amenity:pharmacy,amenity:place_of_worship,amenity:police,amenity:post_office,amenity:prison,amenity:pub,amenity:public_building,amenity:recycling,amenity:restaurant,amenity:school,amenity:shelter,amenity:social_facility,amenity:studio,amenity:taxi,amenity:theatre,amenity:toilets,amenity:townhall,amenity:tuition,amenity:university,amenity:vending_machine,amenity:veterinary,amenity:waste_disposal,amenity:zoo,barrier:entrance,barrier:fence,barrier:gate,barrier:lift_gate,barrier:swing_gate,barrier:toll_booth,barrier:wall,boundary:administrative,boundary:borough,boundary:city,boundary:military,boundary:protected_area,boundary:suburb,boundary:village,building:apartment,building:central_office,building:church,building:civic,building:commercial,building:construction,building:farm,building:garage,building:government,building:house,building:hut,building:industrial,building:kindergarten,building:mosque,building:museum,building:office,building:public,building:residential,building:retail,building:roof,building:service,building:shed,building:sports_centre,building:stadium,building:supermarket,building:temple,building:terrace,building:train_station,building:warehouse,building:yes,craft:carpenter,craft:caterer,craft:electrician,craft:photographer,craft:plumber,craft:tailor,emergency:assembly_point,emergency:fire_hydrant,emergency:yes,highway:bus_stop,highway:construction,highway:crossing,highway:cycleway,highway:footway,highway:living_street,highway:motorway,highway:motorway_junction,highway:motorway_link,highway:path,highway:pedestrian,highway:primary,highway:primary_link,highway:residential,highway:secondary,highway:secondary_link,highway:service,highway:steps,highway:tertiary,highway:tertiary_link,highway:track,highway:traffic_signals,highway:trunk,highway:trunk_link,highway:unclassified,historic:building,historic:castle,historic:manor,historic:memorial,historic:monument,landuse:brownfield,landuse:commercial,landuse:construction,landuse:dyke,landuse:garages,landuse:grass,landuse:greenfield,landuse:industrial,landuse:meadow,landuse:orchard,landuse:plant_nursery,landuse:pumping_station,landuse:railway,landuse:recreation_ground,landuse:religious,landuse:reservoir,landuse:retail,leisure:amusement_arcade,leisure:fishing,leisure:garden,leisure:golf_course,leisure:horse_riding,leisure:nature_reserve,leisure:outdoor_seating,leisure:pitch,leisure:playground,leisure:swimming_pool,leisure:track,leisure:water_park,man_made:monitoring_station,man_made:surveillance,man_made:tower,man_made:water_tower,man_made:water_works,man_made:works,moving:moving,natural:coastline,natural:fell,natural:grass,natural:gully,natural:island,natural:river,natural:tree,natural:tree_row,natural:water,natural:wood,office:accountant,office:administrative,office:advertising_agency,office:architect,office:association,office:company,office:coworking,office:diplomatic,office:educational_institution,office:energy_supplier,office:estate_agent,office:financial,office:foundation,office:graphic_design,office:insurance,office:it,office:lawyer,office:newspaper,office:ngo,office:political_party,office:religion,office:research,office:telecommunication,office:therapist,office:travel_agent,office:yes,place:locality,place:neighbourhood,power:generator,power:line,power:plant,power:substation,power:tower,power:transformer,public_transport:Subway,public_transport:platform,public_transport:rail,public_transport:station,public_transport:stop_position,railway:construction,railway:disused,railway:light_rail,railway:station,railway:stop,shop:anime,shop:art,shop:bag,shop:bakery,shop:beauty,shop:beverages,shop:bicycle,shop:books,shop:camera,shop:car,shop:car_parts,shop:car_repair,shop:chemist,shop:chocolate,shop:clothes,shop:coffee,shop:computer,shop:convenience,shop:copyshop,shop:cosmetics,shop:deli,shop:department_store,shop:doityourself,shop:dry_cleaning,shop:electronics,shop:farm,shop:florist,shop:funeral_directors,shop:furniture,shop:garden_centre,shop:gas,shop:general,shop:gift,shop:greengrocer,shop:hairdresser,shop:hardware,shop:houseware,shop:jewelry,shop:kiosk,shop:laundry,shop:mall,shop:medical_supply,shop:mobile_phone,shop:motorcycle,shop:motorcycle_repair,shop:optician,shop:outdoor,shop:pastry,shop:pawnbroker,shop:perfumery,shop:pet,shop:photo,shop:radiotechnics,shop:rental,shop:shoes,shop:sports,shop:stationery,shop:supermarket,shop:tailor,shop:ticket,shop:toys,shop:travel_agency,shop:tyres,shop:variety_store,shop:water,shop:wholesale,shop:yes,sport:archery,sport:athletics,sport:badminton,sport:baseball,sport:basketball,sport:climbing,sport:field_hockey,sport:fitness,sport:futsal,sport:golf,sport:multi,sport:roller_skating,sport:rugby_union,sport:shooting,sport:skateboard,sport:soccer,sport:swimming,sport:tennis,sport:volleyball,telecom:exchange,tourism:artwork,tourism:attraction,tourism:camp_site,tourism:gallery,tourism:guest_house,tourism:hostel,tourism:hotel,tourism:information,tourism:motel,tourism:theme_park,tourism:yes,waterway:canal,waterway:drain,waterway:stream,label,pca_label,doc2vec_label
510019310255406,0,0,0,0,0,0,0,4,0,47,0,1,0,0,3,15,0,0,1,41,38,0,0,0,0,0,0,0,34,5,0,0,3,42,0,43,1,0,45,0,0,11,0,0,15,0,38,54,2,2,0,0,0,0,46,45,1,0,0,4,1,0,0,0,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,39,0,0,0,50,0,6,0,50,0,0,0,41,54,1,11,0,58,0,9,0,0,34,0,0,0,0,0,0,50,0,0,0,0,0,0,2,0,0,36,0,0,0,8,52,1,0,0,4,0,56,1,64,1,0,51,0,51,0,0,0,1,0,8,0,0,0,0,0,0,43,19,4,0,0,0,2,16,0,0,11,0,9,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,35,0,0,0,26,0,0,0,0,0,40,0,0,1,0,0,0,0,0,16,44,0,23,1,0,0,0,0,0,0,0,0,6,0,0,0,0,32,0,0,47,0,0,0,0,0,36,5,0,40,36,9,12,6,3,0,0,12,6,0,0,0,0,0,0,0,0,0,16,0,3,0,0,0,0,0,43,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,35,27,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,0,34,0,0,0,0,34,0,0,1,10,0,0,0,0,1,0,44,0,0,0,32,0,0,4,5,5,8
510018960283345,0,0,0,0,0,0,7,72,0,65,6,0,0,0,1,19,0,0,1,54,1,2,0,2,0,0,0,0,8,6,4,5,54,3,0,36,0,0,24,0,6,18,0,0,82,8,4,89,14,6,0,6,0,0,11,91,0,0,2,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,19,23,0,33,0,62,0,0,23,77,0,0,0,24,87,15,38,0,7,0,53,0,0,0,0,0,0,0,11,0,69,0,0,0,0,0,0,0,68,0,23,0,0,0,3,90,0,0,0,5,0,70,8,95,68,0,52,0,63,2,0,0,0,0,9,0,0,0,2,7,0,72,10,6,0,0,0,7,0,0,0,36,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,67,0,0,1,0,0,0,0,0,0,32,0,18,0,0,0,0,0,0,1,0,0,0,5,0,0,2,27,0,0,12,0,0,0,0,7,44,7,5,0,23,25,8,0,19,0,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,66,0,0,0,3,2,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,39,6,5,0,6,1,0,42,6,6,1
510019360017398,0,0,1,0,0,0,2,7,0,52,5,0,0,5,2,21,0,0,4,14,0,12,0,5,0,0,0,0,16,1,16,10,3,2,0,1,0,0,7,0,23,5,0,0,47,16,12,42,4,17,0,5,0,0,22,28,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,17,2,0,8,0,33,4,0,2,55,0,0,0,3,41,4,47,0,3,0,5,0,0,0,0,0,0,0,6,0,50,0,0,0,0,0,0,0,16,0,46,3,0,0,0,52,0,0,0,1,0,56,3,52,33,0,54,0,28,0,0,0,0,0,6,0,0,0,9,11,1,54,6,0,0,0,0,2,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,40,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,44,0,47,0,0,0,0,0,0,0,0,0,0,41,0,0,0,34,0,0,24,0,0,0,0,2,20,0,10,0,46,23,6,0,25,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,4,0,0,0,0,0,0,0,4,0,0,14,4,0,0,0,0,0,0,2,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,23,9,42,48,14,1,0,23,0,0,4,4,4,6
510019860238990,0,0,0,0,0,0,0,25,0,38,0,0,0,0,0,4,0,0,0,47,0,0,0,2,0,0,0,0,4,2,0,4,59,22,0,8,0,0,2,0,1,2,0,0,4,4,0,74,19,0,0,0,0,0,9,68,0,0,2,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,8,0,23,0,0,7,2,0,2,0,23,0,0,2,79,0,0,0,2,73,21,4,0,1,0,59,0,0,0,0,0,0,0,1,0,61,0,0,0,0,0,0,0,1,2,45,0,0,0,0,72,0,0,0,0,0,70,1,80,60,0,67,0,43,0,0,0,0,0,0,0,0,0,0,4,6,34,18,1,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0,0,0,27,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,4,0,0,0,0,0,18,1,4,0,20,37,26,0,12,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,3,2,2,1
510011610574037,2,0,0,0,0,0,0,23,0,22,21,0,0,1,2,26,0,0,28,9,0,21,0,0,1,0,0,0,28,0,4,1,0,2,0,19,0,0,4,0,0,0,0,0,13,41,8,36,5,1,0,0,0,0,26,18,0,1,1,20,0,0,0,0,26,0,0,0,0,0,0,1,1,0,0,0,0,13,0,0,0,0,14,29,0,1,0,22,1,0,0,49,0,0,1,2,36,0,50,0,29,2,2,0,0,2,2,0,0,0,0,0,52,0,0,0,0,0,0,0,21,13,42,0,0,0,3,32,0,0,0,0,21,45,0,91,27,0,46,0,47,0,0,0,0,0,25,0,0,0,0,2,3,6,3,4,0,0,0,1,1,0,0,4,0,0,0,0,20,0,0,0,0,0,0,0,17,0,0,2,0,0,0,5,0,0,0,23,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,11,0,42,14,0,20,0,1,0,0,0,1,1,0,0,0,0,1,0,0,24,0,0,0,0,0,38,0,0,7,42,2,7,3,40,0,0,7,3,0,0,0,2,0,0,0,4,0,1,0,1,20,0,7,0,0,18,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,46,0,0,0,0,0,2,0,1,0,0,1,1,0,0,2,0,25,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,16,0,3,0,0,0,0,3,0,0,0,0,1,20,0,0,0,3,29,0,0,0,0,0,0,1,4,4,5
510018910271580,0,0,0,0,0,0,0,10,0,41,0,0,0,0,0,43,0,0,0,7,2,0,0,0,0,2,0,0,50,3,38,3,14,44,1,46,0,0,15,0,0,3,0,0,18,36,38,54,29,0,0,0,0,0,47,44,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,0,0,5,12,0,2,0,17,37,0,0,58,0,0,6,15,52,0,19,0,20,0,47,0,0,44,44,2,2,0,0,0,57,0,0,0,0,0,0,0,4,0,47,0,0,2,1,58,7,1,0,0,36,51,0,63,47,0,53,0,57,1,0,0,7,0,41,0,0,0,0,0,14,16,1,0,0,0,0,5,0,0,0,0,0,3,0,0,36,0,0,0,0,0,0,0,41,0,0,39,0,0,0,13,0,0,0,38,0,0,0,0,0,12,5,0,5,0,1,0,0,1,0,29,0,48,1,0,0,1,0,0,3,0,3,0,0,0,0,0,3,0,0,18,0,0,0,0,0,12,0,0,0,47,2,35,0,47,0,0,35,0,0,0,0,0,2,0,0,0,0,3,0,3,0,0,9,0,0,35,2,1,0,0,37,1,3,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,48,0,0,0,0,0,36,0,0,0,0,0,0,0,0,36,0,12,0,0,0,0,0,0,0,0,0,0,39,2,0,8,0,0,0,37,0,44,0,0,0,0,44,0,10,2,0,0,0,0,0,0,0,40,0,0,0,0,13,0,0,8,8,8
510018810527346,0,0,0,0,0,0,1,12,0,63,1,0,0,0,10,49,0,0,0,52,27,0,0,0,4,0,0,0,8,1,1,0,1,4,0,26,0,0,5,0,0,6,0,3,17,0,72,86,4,1,0,0,0,0,79,73,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,49,28,0,48,0,64,2,0,0,70,0,0,0,4,83,0,17,0,80,2,1,0,1,1,0,0,0,0,0,0,99,0,0,0,0,0,0,0,1,0,50,0,0,0,7,84,0,0,0,0,1,65,0,99,8,0,63,0,95,0,0,0,0,0,14,0,0,0,0,1,0,56,16,5,0,0,0,0,8,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,60,0,0,0,26,0,0,0,0,0,20,0,0,2,0,0,0,0,0,1,39,0,51,1,0,0,2,2,0,1,0,0,2,1,0,0,0,25,0,0,35,0,0,0,0,0,30,0,0,63,50,5,23,22,5,0,0,23,22,0,0,0,4,0,0,0,2,0,2,0,8,0,0,3,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,4,37,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,1,0,0,0,45,2,1,0,0,1,46,95,0,0,0,25,0,0,0,5,5,1
510016360461677,0,0,4,0,0,0,1,6,0,52,1,0,0,1,17,47,0,0,2,52,0,3,0,6,0,0,0,0,14,2,2,3,6,1,1,14,5,0,40,0,2,9,0,0,59,1,37,86,18,6,0,0,0,0,52,77,0,0,2,0,0,0,0,0,31,0,0,0,0,0,0,12,19,0,0,0,0,1,6,27,0,0,31,37,0,27,0,44,44,0,1,86,0,0,0,39,78,2,39,0,15,0,7,0,2,0,0,0,2,0,19,0,84,0,0,0,0,0,0,0,6,1,34,10,0,0,1,77,0,0,0,2,0,67,4,87,38,0,84,0,66,0,0,0,5,0,14,0,3,3,10,16,26,46,46,22,0,0,0,1,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,55,0,0,38,0,0,0,0,0,0,12,0,17,11,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,29,0,0,0,0,1,49,1,3,9,34,38,23,3,20,0,0,23,3,0,0,0,10,0,0,0,4,0,1,0,0,0,0,4,0,0,64,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,2,44,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,5,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,11,1,1,0,0,3,0,0,2,2,21,64,2,1,0,2,0,0,12,6,6,9
510014510000400,0,0,37,0,0,0,0,1,0,59,0,0,0,0,0,1,0,0,0,12,6,0,0,38,0,0,0,0,2,1,0,0,2,1,0,0,6,0,1,0,0,1,0,0,8,0,0,59,7,1,0,0,0,0,49,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,0,0,6,0,0,9,0,4,0,0,0,76,0,0,0,1,59,1,0,0,0,0,1,0,0,6,0,0,7,0,7,0,53,0,0,0,0,0,0,1,0,0,48,0,0,0,1,73,0,0,0,6,0,28,0,75,49,0,69,0,54,0,0,0,0,0,49,0,3,36,1,0,10,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,46,1,0,0,48,11,3,0,5,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,1,9,9,4
510018660251332,0,0,0,0,0,0,55,67,0,65,40,0,0,0,0,36,0,0,41,2,0,0,0,0,0,0,0,0,64,30,0,0,39,0,0,43,0,0,65,0,0,5,0,0,0,1,0,30,31,17,0,1,0,0,65,72,0,0,0,0,41,0,0,0,18,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,38,38,0,22,0,0,0,0,0,68,0,0,0,65,12,21,30,1,0,0,39,0,0,18,0,0,0,0,2,0,93,0,0,0,0,0,0,0,4,0,62,0,0,0,1,63,0,0,0,1,0,22,0,94,68,0,41,0,74,0,0,0,18,0,2,0,0,0,0,0,0,0,0,48,0,0,0,18,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,60,0,9,26,0,0,0,0,0,0,0,0,0,11,0,0,17,1,0,0,0,0,0,0,0,18,32,0,0,0,62,62,2,0,1,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,17,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,17,0,0,0,0,0,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,0,0,0,60,1,92,1,0,0,0,0,0,0,3,3,0
